,TIME_STAMP,GENDER,OCCUPATION,READING,WRITING,LISTENING,SPEAKING,CEFR,EXPERIENCE EXCEPT SCHOOL,ENGLISH OF FAMILY,AVG_JUNIOR_HIGH,AVG_HIGH,USEFUL,EXPOSURE,B_なし,B_アニメ/映画等,B_塾,B_幼稚園,B_海外,B_絵本等,B_英会話,B_英検/英検Jr.,B_音楽,A_なし,A_アニメ/映画等,A_塾,A_学校,A_海外,A_音楽,A_英会話,A_英検/英検Jr.
0,2023/01/04 10:29:02 午後 GMT+9,M,university,3,3,2,2,B1,4,2,1.0,2.0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2023/01/04 10:29:20 午後 GMT+9,F,university,4,5,2,3,B1,2,2,15.0,22.5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2023/01/04 10:31:07 午後 GMT+9,M,university,3,3,1,1,,1,3,2.0,3.0,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2023/01/04 10:32:49 午後 GMT+9,M,university,2,2,4,3,B1,2,2,4.0,4.0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
4,2023/01/04 10:34:30 午後 GMT+9,M,university,3,4,3,1,B1,1,3,2.0,5.0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1
5,2023/01/04 10:36:22 午後 GMT+9,F,university,1,1,1,1,A2,1,2,0.0,7.0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2023/01/04 10:43:54 午後 GMT+9,F,university,3,4,5,2,B1,1,4,2.0,3.0,4,2,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0
7,2023/01/04 11:20:33 午後 GMT+9,F,university,4,2,3,1,B1,1,3,5.0,10.0,2,3,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
8,2023/01/04 11:42:21 午後 GMT+9,F,university,4,2,3,1,C1,5,5,7.0,21.0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
9,2023/01/05 12:16:49 午前 GMT+9,M,university,4,3,2,2,B1,1,2,4.0,8.0,4,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
10,2023/01/05 7:17:51 午前 GMT+9,M,university,4,1,2,1,B2,1,1,1.0,1.0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11,2023/01/05 7:58:10 午前 GMT+9,F,university,3,4,3,4,B1,1,1,5.0,10.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
12,2023/01/05 8:36:43 午前 GMT+9,F,university,3,2,3,1,B2,1,3,8.0,12.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,2023/01/05 9:49:02 午前 GMT+9,F,university,3,2,4,3,B1,1,3,6.0,6.0,3,3,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0
14,2023/01/05 9:54:28 午前 GMT+9,F,university,3,2,2,2,,5,5,4.0,6.0,3,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0
15,2023/01/05 12:40:58 午後 GMT+9,F,university,3,2,4,3,B1,1,3,5.0,5.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,2023/01/05 12:58:15 午後 GMT+9,F,university,3,2,1,1,B2,1,2,3.0,5.0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
17,2023/01/05 2:13:03 午後 GMT+9,F,university,4,2,3,1,B1,1,2,2.0,3.0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
18,2023/01/05 5:58:31 午後 GMT+9,M,university,2,2,2,1,,1,4,0.25,0.5,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,2023/01/05 6:34:00 午後 GMT+9,F,professional student,1,1,1,4,,2,3,15.0,7.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
20,2023/01/05 6:37:46 午後 GMT+9,M,others,2,3,2,3,B2,1,3,7.0,10.0,3,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
21,2023/01/05 6:39:08 午後 GMT+9,F,university,2,2,2,1,B2,1,3,15.0,30.0,4,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
22,2023/01/05 6:41:29 午後 GMT+9,M,university,3,2,3,3,B1,1,1,10.0,30.0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
23,2023/01/05 6:56:20 午後 GMT+9,F,university,2,3,2,3,B2,1,3,1.0,2.5,3,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1
24,2023/01/05 7:09:06 午後 GMT+9,F,university,2,3,3,3,B1,1,2,10.0,10.0,2,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
25,2023/01/05 7:10:25 午後 GMT+9,M,university,3,2,4,2,A2,2,2,7.0,14.0,2,2,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0
26,2023/01/05 7:12:42 午後 GMT+9,M,university,2,1,2,2,B1,1,1,1.5,1.5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,2023/01/05 7:19:46 午後 GMT+9,M,university,3,2,2,1,,2,2,8.0,10.0,4,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
28,2023/01/05 8:13:06 午後 GMT+9,M,university,3,3,4,4,B2,3,1,2.0,2.0,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,2023/01/05 9:02:51 午後 GMT+9,F,university,2,2,4,4,C1,3,3,8.0,90.0,4,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
30,2023/01/05 9:50:38 午後 GMT+9,F,university,3,2,1,1,,1,2,14.0,14.0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,2023/01/05 11:31:30 午後 GMT+9,M,university,3,2,2,1,C1,2,1,7.0,5.0,4,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
32,2023/01/06 12:22:38 午前 GMT+9,M,university,3,3,3,3,B2,1,3,4.0,6.0,4,2,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1
33,2023/01/06 1:16:03 午前 GMT+9,M,university,1,3,3,4,B2,1,3,3.0,4.0,4,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
34,2023/01/06 9:41:44 午前 GMT+9,F,university,2,3,3,3,B1,2,3,4.0,8.0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35,2023/01/06 4:15:07 午後 GMT+9,M,university,4,3,1,2,C1,3,1,3.0,6.0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1
36,2023/01/06 4:17:13 午後 GMT+9,M,others,4,4,4,4,B2,5,1,9.0,10.0,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,2023/01/06 4:22:15 午後 GMT+9,F,university,2,2,2,2,B2,1,2,3.0,10.0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
38,2023/01/06 4:24:23 午後 GMT+9,M,university,1,1,1,1,C2,1,4,0.5,0.300000011920929,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
39,2023/01/06 4:24:23 午後 GMT+9,F,university,4,3,2,2,B1,1,2,5.0,20.0,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
40,2023/01/06 4:39:51 午後 GMT+9,F,university,1,1,1,1,A2,2,1,3.0,5.0,4,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1
41,2023/01/06 5:04:23 午後 GMT+9,F,university,3,2,3,1,B2,1,3,3.0,10.0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,2023/01/06 5:14:41 午後 GMT+9,M,others,4,4,3,2,B2,1,2,2.0,3.0,4,4,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
43,2023/01/06 5:16:35 午後 GMT+9,F,university,4,3,3,2,C1,3,3,5.0,20.0,4,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
44,2023/01/06 5:34:32 午後 GMT+9,M,university,3,2,1,1,,1,1,7.0,9.0,4,3,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
45,2023/01/06 6:03:58 午後 GMT+9,M,university,3,2,2,2,,1,3,1.0,1.5,3,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
46,2023/01/06 6:09:12 午後 GMT+9,F,university,3,4,4,2,B2,1,5,5.0,10.0,4,4,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1
47,2023/01/06 6:13:01 午後 GMT+9,M,university,4,3,5,4,B1,2,1,10.0,11.0,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
48,2023/01/06 6:31:29 午後 GMT+9,M,others,4,5,5,5,B1,1,3,4.5,4.5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
49,2023/01/06 8:28:06 午後 GMT+9,F,university,3,3,2,1,,1,3,6.0,12.0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,2023/01/06 10:44:10 午後 GMT+9,M,university,3,2,1,1,B2,1,2,5.0,21.0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,2023/01/07 10:53:45 午前 GMT+9,M,university,4,3,4,2,B1,1,2,4.0,10.0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
52,2023/01/09 5:26:17 午後 GMT+9,F,university,3,2,1,2,A2,1,2,2.0,14.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,2023/01/09 10:45:52 午後 GMT+9,M,university,4,1,3,5,C1,2,3,2.0,10.0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
54,2023/01/10 1:11:43 午後 GMT+9,M,university,3,3,2,2,B2,2,3,5.0,3.0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
55,2023/01/10 1:13:21 午後 GMT+9,M,university,3,3,3,2,B1,1,3,10.0,20.0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
56,2023/01/10 1:13:28 午後 GMT+9,M,university,2,2,1,2,B1,1,4,2.0,1.0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
57,2023/01/10 1:13:51 午後 GMT+9,M,university,4,3,2,1,B1,3,5,5.0,6.0,4,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
58,2023/01/10 1:14:25 午後 GMT+9,M,university,4,3,4,3,B1,2,4,2.0,4.0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
59,2023/01/10 1:14:34 午後 GMT+9,M,university,4,3,4,3,B2,1,4,8.0,10.0,3,3,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
60,2023/01/10 1:14:43 午後 GMT+9,M,university,4,3,2,3,B1,1,2,14.0,21.0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
61,2023/01/10 1:14:46 午後 GMT+9,M,university,5,1,4,2,B1,1,3,4.0,8.0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,2023/01/10 1:14:48 午後 GMT+9,M,university,2,1,1,2,,1,1,3.0,5.0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,2023/01/10 1:14:55 午後 GMT+9,M,university,4,3,2,2,B1,2,3,2.0,5.0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
64,2023/01/10 1:15:17 午後 GMT+9,M,university,4,3,4,2,B2,1,2,3.0,10.0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
65,2023/01/10 1:15:36 午後 GMT+9,M,university,3,3,2,3,B1,2,3,5.0,15.0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
66,2023/01/10 1:15:51 午後 GMT+9,M,university,4,2,2,3,A2,2,2,8.0,11.0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
67,2023/01/10 1:15:57 午後 GMT+9,M,university,4,3,3,2,B2,1,3,2.5,7.0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,2023/01/10 1:16:11 午後 GMT+9,F,university,3,3,2,2,B1,1,2,2.0,5.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,2023/01/10 1:16:38 午後 GMT+9,M,university,3,2,4,2,A2,1,1,4.0,4.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,2023/01/10 1:16:47 午後 GMT+9,M,university,4,3,1,1,B1,1,3,3.0,10.0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,2023/01/10 1:16:58 午後 GMT+9,F,university,4,3,2,1,B1,1,3,6.0,13.0,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
72,2023/01/10 1:17:13 午後 GMT+9,F,university,4,4,3,2,B1,1,4,10.0,15.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,2023/01/10 1:18:48 午後 GMT+9,M,university,3,3,1,1,B2,1,1,3.0,10.0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
74,2023/01/10 1:21:38 午後 GMT+9,M,university,3,3,2,2,B2,2,3,5.0,3.0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
75,2023/01/10 1:22:07 午後 GMT+9,M,university,4,3,3,2,B1,3,2,4.0,7.0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76,2023/01/10 2:49:27 午後 GMT+9,M,university,4,5,3,2,B2,2,1,6.0,10.0,4,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1
77,2023/01/10 2:49:43 午後 GMT+9,M,university,1,1,3,2,B2,1,5,1.0,1.0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
78,2023/01/10 2:51:36 午後 GMT+9,F,university,4,2,3,1,C1,1,2,3.5,6.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,2023/01/10 2:51:37 午後 GMT+9,M,university,3,2,4,3,C1,2,5,0.75,2.5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
80,2023/01/10 2:51:43 午後 GMT+9,M,university,5,4,2,3,,1,2,2.0,5.0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81,2023/01/10 2:51:52 午後 GMT+9,F,university,5,3,3,1,B2,2,3,5.0,5.0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
82,2023/01/10 2:52:20 午後 GMT+9,M,university,5,4,1,4,B2,2,5,3.0,25.0,4,4,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0
83,2023/01/10 2:52:21 午後 GMT+9,F,university,5,1,3,1,B1,1,1,5.0,6.0,4,2,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0
84,2023/01/10 2:52:49 午後 GMT+9,M,university,5,4,3,2,B2,1,2,4.0,6.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
85,2023/01/10 2:53:08 午後 GMT+9,M,university,5,5,5,5,C1,5,4,8.0,8.0,4,3,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
86,2023/01/10 2:53:32 午後 GMT+9,F,university,4,4,4,3,B2,1,3,1.0,2.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,2023/01/10 2:54:58 午後 GMT+9,F,university,4,2,2,1,B2,1,1,5.0,20.0,4,3,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0
88,2023/01/10 2:55:10 午後 GMT+9,M,university,4,4,3,2,B2,2,3,15.0,15.0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
89,2023/01/10 2:56:46 午後 GMT+9,M,university,4,3,3,2,B2,5,1,12.5,22.5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,2023/01/10 2:57:26 午後 GMT+9,M,university,5,5,5,5,C2,5,5,1.0,0.0,4,4,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
91,2023/01/10 3:11:00 午後 GMT+9,M,high school,3,2,2,1,B2,1,2,5.0,15.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,2023/01/10 3:14:38 午後 GMT+9,M,high school,3,3,4,2,B2,1,3,4.0,10.0,4,2,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1
93,2023/01/10 3:14:52 午後 GMT+9,M,university,2,2,3,3,,1,1,5.0,0.0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,2023/01/10 3:21:35 午後 GMT+9,F,university,2,3,1,1,B1,1,2,10.0,20.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,2023/01/10 3:21:39 午後 GMT+9,F,high school,3,2,2,3,A2,1,1,5.0,15.0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
96,2023/01/10 3:22:11 午後 GMT+9,M,university,3,3,3,3,B2,1,2,3.0,3.0,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
97,2023/01/10 3:25:36 午後 GMT+9,M,university,4,3,2,2,B2,1,3,0.5,1.0,4,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
98,2023/01/10 3:34:38 午後 GMT+9,F,university,3,2,4,3,B1,1,2,7.0,11.0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
99,2023/01/10 3:48:39 午後 GMT+9,F,high school,2,2,4,2,B1,1,2,4.0,2.0,4,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
100,2023/01/10 3:51:10 午後 GMT+9,M,others,2,2,2,1,B1,1,2,1.0,1.0,4,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
101,2023/01/10 4:20:05 午後 GMT+9,M,university,2,2,5,3,,1,3,7.0,10.0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
102,2023/01/10 4:22:39 午後 GMT+9,M,university,4,4,2,2,B1,2,3,1.0,2.0,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
103,2023/01/10 4:30:52 午後 GMT+9,F,high school,2,4,3,3,B2,2,3,6.0,8.0,4,4,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1
104,2023/01/10 4:37:50 午後 GMT+9,F,university,4,3,2,2,B1,1,2,6.0,8.0,2,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
105,2023/01/10 4:51:02 午後 GMT+9,F,university,3,1,3,3,A1,1,2,1.0,1.0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
106,2023/01/10 5:18:05 午後 GMT+9,M,university,4,4,4,4,B2,1,4,2.0,1.0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
107,2023/01/10 5:18:32 午後 GMT+9,M,university,3,2,1,3,B2,1,3,6.0,12.0,3,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
108,2023/01/10 6:37:01 午後 GMT+9,F,high school,2,4,2,2,B1,3,2,5.5,6.5,3,3,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0
109,2023/01/10 6:53:06 午後 GMT+9,M,high school,3,2,3,2,,4,3,3.0,7.0,4,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
110,2023/01/10 7:28:16 午後 GMT+9,F,professional student,3,3,2,2,,1,3,5.0,7.0,4,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
111,2023/01/10 8:55:11 午後 GMT+9,M,university,5,2,3,4,B1,2,3,8.0,10.0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
